split,budget,policy,objective,value,cost
2,70,probe(dev-fitted),frac_ge_0.7,0.3401639344262295,17080.0
2,70,est_norm,mean_r,0.4568685824919843,17080.0
2,70,est_norm,frac_ge_0.5,0.5081967213114754,17080.0
2,70,est_norm,frac_ge_0.7,0.3483606557377049,17080.0
2,70,half_split_r,mean_r,0.45379535131228965,17080.0
2,70,half_split_r,frac_ge_0.5,0.48360655737704916,17080.0
2,70,half_split_r,frac_ge_0.7,0.3483606557377049,17080.0
2,70,noise_ratio,mean_r,0.4402533445405186,17080.0
2,70,noise_ratio,frac_ge_0.5,0.4959016393442623,17080.0
2,70,noise_ratio,frac_ge_0.7,0.22131147540983606,17080.0
2,70,prior_typiclust,mean_r,0.45440037259650723,17080.0
2,70,prior_typiclust,frac_ge_0.5,0.47540983606557374,17080.0
2,70,prior_typiclust,frac_ge_0.7,0.3319672131147541,17080.0
2,70,random,mean_r,0.44523555080389193,17080.0
2,70,random,frac_ge_0.5,0.44672131147540983,17080.0
2,70,random,frac_ge_0.7,0.3155737704918033,17080.0
2,70,oracle_mean_r,mean_r,0.4726719328290096,17080.0
2,70,oracle_mean_r,frac_ge_0.5,0.5245901639344263,17080.0
2,70,oracle_mean_r,frac_ge_0.7,0.3442622950819672,17080.0
2,70,oracle_frac_ge_0.5,mean_r,0.4521149587168618,17080.0
2,70,oracle_frac_ge_0.5,frac_ge_0.5,0.5245901639344263,17080.0
2,70,oracle_frac_ge_0.5,frac_ge_0.7,0.29918032786885246,17080.0
2,70,oracle_frac_ge_0.7,mean_r,0.44670782018200966,17080.0
2,70,oracle_frac_ge_0.7,frac_ge_0.5,0.46311475409836067,17080.0
2,70,oracle_frac_ge_0.7,frac_ge_0.7,0.3483606557377049,17080.0
2,90,uniform,mean_r,0.4809661587947392,21960.0
2,90,uniform,frac_ge_0.5,0.5163934426229508,21960.0
2,90,uniform,frac_ge_0.7,0.3401639344262295,21960.0
2,90,probe(dev-fitted),mean_r,0.47835297696196977,21960.0
2,90,probe(dev-fitted),frac_ge_0.5,0.5163934426229508,21960.0
2,90,probe(dev-fitted),frac_ge_0.7,0.3483606557377049,21960.0
2,90,est_norm,mean_r,0.4813413099971692,21960.0
2,90,est_norm,frac_ge_0.5,0.5245901639344263,21960.0
2,90,est_norm,frac_ge_0.7,0.3483606557377049,21960.0
2,90,half_split_r,mean_r,0.48156584663551344,21960.0
2,90,half_split_r,frac_ge_0.5,0.5245901639344263,21960.0
2,90,half_split_r,frac_ge_0.7,0.3483606557377049,21960.0
2,90,noise_ratio,mean_r,0.4762817509706155,21960.0
2,90,noise_ratio,frac_ge_0.5,0.5245901639344263,21960.0
2,90,noise_ratio,frac_ge_0.7,0.3442622950819672,21960.0
2,90,prior_typiclust,mean_r,0.4778643463300274,21960.0
2,90,prior_typiclust,frac_ge_0.5,0.5163934426229508,21960.0
2,90,prior_typiclust,frac_ge_0.7,0.3401639344262295,21960.0
2,90,random,mean_r,0.47126142140220256,21960.0
2,90,random,frac_ge_0.5,0.4959016393442623,21960.0
2,90,random,frac_ge_0.7,0.3360655737704918,21960.0
2,90,oracle_mean_r,mean_r,0.49040101896675653,21960.0
2,90,oracle_mean_r,frac_ge_0.5,0.5245901639344263,21960.0
2,90,oracle_mean_r,frac_ge_0.7,0.3483606557377049,21960.0
2,90,oracle_frac_ge_0.5,mean_r,0.4766139413395202,21960.0
2,90,oracle_frac_ge_0.5,frac_ge_0.5,0.5245901639344263,21960.0
2,90,oracle_frac_ge_0.5,frac_ge_0.7,0.3319672131147541,21960.0
2,90,oracle_frac_ge_0.7,mean_r,0.47436058585060625,21960.0
2,90,oracle_frac_ge_0.7,frac_ge_0.5,0.5040983606557377,21960.0
2,90,oracle_frac_ge_0.7,frac_ge_0.7,0.3483606557377049,21960.0
3,40,uniform,mean_r,0.4070740318876218,9760.0
3,40,uniform,frac_ge_0.5,0.39344262295081966,9760.0
3,40,uniform,frac_ge_0.7,0.24180327868852458,9760.0
3,40,probe(dev-fitted),mean_r,0.39047540462438446,9760.0
3,40,probe(dev-fitted),frac_ge_0.5,0.3770491803278688,9760.0
3,40,probe(dev-fitted),frac_ge_0.7,0.2540983606557377,9760.0
3,40,est_norm,mean_r,0.38326938170939684,9760.0
3,40,est_norm,frac_ge_0.5,0.3401639344262295,9760.0
3,40,est_norm,frac_ge_0.7,0.22131147540983606,9760.0
3,40,half_split_r,mean_r,0.3832529911649276,9760.0
3,40,half_split_r,frac_ge_0.5,0.3401639344262295,9760.0
3,40,half_split_r,frac_ge_0.7,0.21721311475409835,9760.0
3,40,noise_ratio,mean_r,0.37735353075120537,9760.0
3,40,noise_ratio,frac_ge_0.5,0.3442622950819672,9760.0
3,40,noise_ratio,frac_ge_0.7,0.20081967213114754,9760.0
3,40,prior_typiclust,mean_r,0.3877624209634349,9760.0
3,40,prior_typiclust,frac_ge_0.5,0.35655737704918034,9760.0
3,40,prior_typiclust,frac_ge_0.7,0.2459016393442623,9760.0
3,40,random,mean_r,0.3875738883154375,9760.0
3,40,random,frac_ge_0.5,0.36475409836065575,9760.0
3,40,random,frac_ge_0.7,0.21311475409836064,9760.0
3,40,oracle_mean_r,mean_r,0.40843649680314004,9760.0
3,40,oracle_mean_r,frac_ge_0.5,0.44672131147540983,9760.0
3,40,oracle_mean_r,frac_ge_0.7,0.26229508196721313,9760.0
3,40,oracle_frac_ge_0.5,mean_r,0.4014825966422919,9760.0
3,40,oracle_frac_ge_0.5,frac_ge_0.5,0.4959016393442623,9760.0
3,40,oracle_frac_ge_0.5,frac_ge_0.7,0.22131147540983606,9760.0
3,40,oracle_frac_ge_0.7,mean_r,0.3966792033618835,9760.0
3,40,oracle_frac_ge_0.7,frac_ge_0.5,0.36885245901639346,9760.0
3,40,oracle_frac_ge_0.7,frac_ge_0.7,0.3401639344262295,9760.0
3,55,uniform,mean_r,0.43369437777580405,13420.0
3,55,uniform,frac_ge_0.5,0.42213114754098363,13420.0
3,55,uniform,frac_ge_0.7,0.27049180327868855,13420.0
3,55,probe(dev-fitted),mean_r,0.4220149944169966,13420.0
3,55,probe(dev-fitted),frac_ge_0.5,0.430327868852459,13420.0
3,55,probe(dev-fitted),frac_ge_0.7,0.30327868852459017,13420.0
3,55,est_norm,mean_r,0.41574413931669024,13420.0
3,55,est_norm,frac_ge_0.5,0.3975409836065574,13420.0
3,55,est_norm,frac_ge_0.7,0.319672131147541,13420.0
3,55,half_split_r,mean_r,0.4141760124504322,13420.0
3,55,half_split_r,frac_ge_0.5,0.39344262295081966,13420.0
3,55,half_split_r,frac_ge_0.7,0.3155737704918033,13420.0
3,55,noise_ratio,mean_r,0.39657063601103415,13420.0
3,55,noise_ratio,frac_ge_0.5,0.35655737704918034,13420.0
3,55,noise_ratio,frac_ge_0.7,0.20081967213114754,13420.0
3,55,prior_typiclust,mean_r,0.41544510670899426,13420.0
3,55,prior_typiclust,frac_ge_0.5,0.4016393442622951,13420.0
3,55,prior_typiclust,frac_ge_0.7,0.29508196721311475,13420.0
